Trevor Lewis,0.031008,0.080071,0.167410,0.051400,0.296872,0.052274,0.320964
Devin Setoguchi,0.098814,0.147794,0.324149,0.045043,0.166411,0.034156,0.183632
Clarke MacArthur,0.041367,0.254426,0.338671,0.024427,0.112084,0.029585,0.199440
Mathieu Perreault,0.084563,0.222943,0.330098,0.029168,0.114913,0.034223,0.184092
Chris Thorburn,0.050394,0.114733,0.111274,0.165510,0.142148,0.286726,0.129215
Tomas Kopecky,0.037104,0.122289,0.237901,0.039934,0.202141,0.050441,0.310189
Anze Kopitar,0.526792,0.155818,0.083077,0.037528,0.059439,0.071688,0.065658
Andreas Nodl,0.014627,0.043789,0.247336,0.017785,0.313735,0.014213,0.348516
Andrei Loktionov,0.059418,0.138104,0.192005,0.058952,0.185795,0.099157,0.266568
Mason Raymond,0.357562,0.320112,0.121455,0.026463,0.060697,0.037899,0.075812
Benoit Pouliot,0.112034,0.201980,0.309997,0.049096,0.133749,0.035438,0.157706
Matt Martin,0.081193,0.118252,0.126390,0.243173,0.152560,0.147766,0.130665
Daniel Carcillo,0.063080,0.096127,0.101914,0.426305,0.118209,0.093433,0.100932
James Sheppard,0.038237,0.096672,0.143939,0.127295,0.254998,0.117101,0.221758
Brian Boyle,0.043875,0.093949,0.149319,0.175829,0.246405,0.097469,0.193155
Frazer McLaren,0.059042,0.097632,0.160543,0.199924,0.214143,0.066932,0.201784
David Clarkson,0.100279,0.130598,0.163877,0.259238,0.156451,0.055927,0.133629
Derek MacKenzie,0.051757,0.105765,0.220717,0.051119,0.217294,0.049439,0.303911
Bill Thomas,0.042854,0.086560,0.269419,0.039931,0.201273,0.031171,0.328792
Colin Fraser,0.034491,0.120136,0.219091,0.048316,0.216612,0.051649,0.309706
Cory Emmerton,0.047547,0.101551,0.202485,0.059894,0.223421,0.062034,0.303068
Wayne Simmonds,0.025165,0.077257,0.309162,0.055041,0.302219,0.020251,0.210904
James van Riemsdyk,0.025188,0.884949,0.033108,0.006025,0.016281,0.013359,0.021091
Zach Boychuk,0.042268,0.078632,0.228597,0.062735,0.308733,0.033590,0.245445
